序號,資料產製時間,常用搜尋關鍵字,網址,Y座標(WGS84),X座標(WGS84),開放時間,開車及搭乘大眾運輸文字描述,三碼郵遞區號,景點(或景區)地址,景點(或景區)服務電話(國碼-區碼-電話號碼),Description景點(或景區)特色精簡版文字簡述,景點(或景區)特色詳細文字簡述,景點(或景區)中文名稱,FB ID
678,2016/10/19 11:10:49,石門,,25.27534,121.55126,全年無休,【大眾運輸】　1.乘坐開往金山的淡水客運，於石門洞站下車即可。 　2.搭乘F152於樹仔下[新巴士]站下車。　　【自行開車】　1、從台北市經大度路、關渡、2號省道、三芝至石門或由基隆經萬里、金山至石門下車即可。 　2、由淡水站沿2號省道往金山方向行駛，過老梅約5公里多即可抵達。,253,新北市石門區山溪里大溪墘9之3號,886-2-29603456,這株老雀榕樹齡已超過二百五十歲，地方上稱為「千年老樹公」。 仔細觀看這株珍貴老樹，在樹幹突出的樹瘤部分，有個狀似豬頭的樹瘤，加上在豬槽潭的附近，當地鄉民認為這是天蓬元帥化身顯靈的證明，因而聲名遠播，有「千年豬頭神樹公」的稱號，仔細看看老雀榕「豬頭」的模樣，不管是在神情、體態上都唯妙唯肖，栩栩如生，讓人嘆為觀止。,這株老雀榕樹齡已超過二百五十歲，地方上稱為「千年老樹公」。 仔細觀看這株珍貴老樹，在樹幹突出的樹瘤部分，有個狀似豬頭的樹瘤，加上在豬槽潭的附近，當地鄉民認為這是天蓬元帥化身顯靈的證明，因而聲名遠播，有「千年豬頭神樹公」的稱號，仔細看看老雀榕「豬頭」的模樣，不管是在神情、體態上都唯妙唯肖，栩栩如生，讓人嘆為觀止。 更常常吸引許多求子嗣者、家庭失和的夫妻來此祈願，也有人認樹神為「義公」，但若要祭拜神樹公可是有規矩的，比較講究的使用地瓜葉，水果、餅乾也可以，但絕對禁用三牲，尤其是豬肉。每年雙十節國慶，就是神樹公聖誕與建廟的慶典日，可前往為神樹公祝壽。另外，在老樹下豎立了一塊紀念碑，這是在八十七年十月廿四日歡度九九重陽暨為老樹慶生紀念活動，當時新北市縣長蘇貞昌特別與石門區各界到場豎碑，藉以表達新北市保護珍貴老樹的用心。,聖明宮千年雀榕,Shengmingkung.168
679,2016/03/29 11:04:55,"鐵道,北回雙溪站,鐵道牡丹站,雙溪",,25.05193,121.85711,9:00-17:00,【大眾運輸】　搭乘火車於牡丹站下車，步行約1.4公里可達。　　【自行開車】　1.中山高→瑞芳/暖暖交流道下→【62】萬里-瑞濱快速道路→右轉【北37】侯牡公路。　2.中山高→濱海公路→澳底→右轉往雙溪【102甲】。　3.北二高→南港系統交流道→接北宜高→石碇交流道下→轉平溪106縣道→在67.8公里處右轉往雙溪。　4.濱海公路→福隆→左轉往雙溪【102】。,227,新北市雙溪區聖南30號,886-2-24933332,牡丹里聖南路興道山上的聖南寺，分為上寺與下寺二處，上寺創建於民國16年，下寺興建於民國29年，寺內奉祀釋迦牟尼佛、藥師佛、日光佛、月光佛、菩薩、護法神、觀音、地藏王等。寺內建築有琉璃光寶殿、彌陀殿、觀音殿、大雄寶殿、地藏殿等，各有其風格與特色，四週林木蒼鬱，環境幽靜雅素，晨鐘暮鼓，令人有如置身世外之感，詩人筆下「雙溪八景」的「聖寺鐘聲」更是名聞遐邇。可駕車自山下直上，每逢朔望或佛祖聖誕，香客絡繹不絕。,牡丹里聖南路興道山上的聖南寺，分為上寺與下寺二處，上寺創建於民國16年，下寺興建於民國29年，寺內奉祀釋迦牟尼佛、藥師佛、日光佛、月光佛、菩薩、護法神、觀音、地藏王等。寺內建築有琉璃光寶殿、彌陀殿、觀音殿、大雄寶殿、地藏殿等，各有其風格與特色，四週林木蒼鬱，環境幽靜雅素，晨鐘暮鼓，令人有如置身世外之感，詩人筆下「雙溪八景」的「聖寺鐘聲」更是名聞遐邇。可駕車自山下直上，每逢朔望或佛祖聖誕，香客絡繹不絕。,聖南寺,196911040341974 
680,2016/03/09 15:27:22,萬里,,25.22169,121.64583,全年開放,【大眾運輸】　1.搭乘淡水客運或基隆客運「淡水－基隆」對開班次，於金山郵局站下車。　　【自行開車】　1.國道三號於基金交流道下，走台2線（濱海公路），沿指標往萬里方向。　2.國道1號臺北交流道下，重慶北路直行，左轉民族西路，遇到承德路左轉後，一路沿臺2線向北即抵，沿途可見指標導引。,207,新北市萬里區磺港路,886-2-24922064,北海岸另一條不容錯過的濱海自行車道就是「萬里－金山自行車道」，可以從中角沙灘，一直騎到台電核二廠，沿途有沙灘、海景，還有迷人的小漁村風光，騎起來非常舒適！開車前來的騎士們可以將汽車停放在金山核二廠旁的廣大停車場，再從核二廠旁的出海口騎乘小折一路馳騁至萬里。,北海岸另一條不容錯過的濱海自行車道就是「萬里－金山自行車道」，可以從中角沙灘，一直騎到台電核二廠，沿途有沙灘、海景，還有迷人的小漁村風光，騎起來非常舒適！開車前來的騎士們可以將汽車停放在金山核二廠旁的廣大停車場，再從核二廠旁的出海口騎乘小折一路馳騁至萬里，沿途的防風林間建有木棧道，悠遊在綠意盎然的林蔭間，一邊是山，一邊是海，快意奔馳！騎這段自行車道最特別之處，是在運動之後，可以就近泡溫泉，讓金萬地區的特有泉水，撫慰旅途中的疲累，享受通體舒暢的快感。,萬里-金山自行車道,224506017586017 
681,2016/07/21 12:07:46,萬里,,25.20519,121.68922,請先來電洽詢,【大眾運輸】　1.搭乘基隆客運1068至野柳地質公園站下車步行可達。　　【自行開車】　2.由基隆市區 → 走台二線（北海岸公路）西行 → 經萬里、翡翠灣直行即至野柳。,207,新北市萬里區野柳里港東路167號,886-2-24922512,這裡是以野柳國小的海洋教室作為基地而成立的，館內展出有捕魚籠、捕蟹籠、流刺網、魚探器、集魚燈、錨、釣具、釣餌等漁村常見的器物，都是從社區長輩家中倉庫搬出來的，紀錄著漁村衍替的歷史痕跡，也述說著漁民們幾十年來的辛苦血汗，觀看追想，彷彿進入早期漁村生活的時光隧道。,這裡是以野柳國小的海洋教室作為基地而成立的，館內展出有捕魚籠、捕蟹籠、流刺網、魚探器、集魚燈、錨、釣具、釣餌等漁村常見的器物，都是從社區長輩家中倉庫搬出來的，紀錄著漁村衍替的歷史痕跡，也述說著漁民們幾十年來的辛苦血汗，觀看追想，彷彿進入早期漁村生活的時光隧道。,萬里漁村生活館,275355919241865 
682,2015/12/09 17:23:58,萬里,,25.20411,121.68781,未提供,【大眾運輸】　1.客運：於臺北北站(承德路)、國父紀念館站、臺北科技大學搭(臺北－金青中心)班車，在野柳站下車。　2.捷運：於淡水捷運站前搭(淡水－基隆)班車，在野柳站下車。　3.火車：在基隆火車站旁搭(基隆－金山)的基隆客運，於野柳站下車。　　【自行開車】　1.國道1號朝新竹交流道出口前進→靠右繼續走五股楊梅高架段/國道1號→在大華系統交流道出口下交流道，,207,新北市萬里區野柳里港東路167號,886-2-24922512,創建的緣由為民國九十年前後，任教野柳國小的張明錫老師開始進行「海洋課程」，結合了一群野柳在地人（李梅芳等先生、干寶猜老師以及地質公園解說人員蕭式棋等人士），帶領學生深入社區，進行戶外教學，開始意識到『野柳之美』。文化館的成立，是由許多人所成就的，未來的發展也將和所有人分享，文化館的所有人期盼大家來造訪，讓當地人展現海口人的誠摯熱情，讓遊客感受野柳的文化。,創建的緣由為民國九十年前後，任教野柳國小的張明錫老師開始進行「海洋課程」，結合了一群野柳在地人（李梅芳等先生、干寶猜老師以及地質公園解說人員蕭式棋等人士），帶領學生深入社區，進行戶外教學，開始意識到『野柳之美』。 這是一種擁有豐厚的海洋和漁村社區的文化和情懷。後因野柳地質公園的湯錦惠小姐提出了發展社團組織的思考方向，乃從最初的「野柳文史工作室」發展為「野柳文化生活協會」，以致民國93年的「新北市萬里區瑪鋉漁村文化生活協會」，並獲得新北市政府社會局核可而成立社團。文化館的成立，是由許多人所成就的，未來的發展也將和所有人分享，文化館的所有人期盼大家來造訪，讓當地人展現海口人的誠摯熱情，讓遊客感受野柳的文化。,萬里瑪鍊文化館,
683,2016/03/29 16:25:04,"捷運,新莊線,捷運先嗇宮站,三重",,25.06408,121.47214,全天開放,【大眾運輸】　搭乘台北客運806、三重客運640至博愛新村站下車，步行約1.3公里可達。　　【自行開車】　1.板橋文化路至華江橋端，沿橋旁道路左轉環河路，由華江水門進入，或右轉從江子翠水門進入。　2.另可走板橋中正路左轉銜接環河路，由四汴頭水門進入。　3.可走中山高三重交流道下，接成功路轉二重疏洪道到達。,241,新北市三重區新莊堤外道路,886-2-29862345,萬善同位於二重疏洪道內，是疏洪道內唯一在開闢時未被拆除的建物。此廟在清末即已存在，為昔日頂崁墓園，開墾初期二重埔地區往生的人，多就地埋葬，日治時期地方人士為繁榮地方，始禁止濫葬，並且將二重埔五保內所有的荒塚屍骨集中在萬善同，由五保共同祭祀。因為萬善同是由二重埔五保(五里長) 為地方安寧，共同集資興建，乃為一「公有陰廟」，在臺灣實屬少見。民國六十六年曾因納骨塔的圓頂坍塌而重修，民國六十八年納骨塔第二次整修。民國七十二年二重疏洪道興建，因位在疏洪道溢洪區內而計畫拆除，後因當地民眾一再請願故得以保存。民國七十三年跨越疏洪道行經廟旁的中山大橋，在施工至萬善同前面時，曾發生重達數噸的橋面一同掉落的事件，除令施工單位檢討施工過程外，亦不免依禮俗備牲禮到萬善同祭拜。,萬善同位於二重疏洪道內，是疏洪道內唯一在開闢時未被拆除的建物。此廟在清末即已存在，為昔日頂崁墓園，開墾初期二重埔地區往生的人，多就地埋葬，日治時期地方人士為繁榮地方，始禁止濫葬，並且將二重埔五保內所有的荒塚屍骨集中在萬善同，由五保共同祭祀。因為萬善同是由二重埔五保(五里長) 為地方安寧，共同集資興建，乃為一「公有陰廟」，在臺灣實屬少見。民國六十六年曾因納骨塔的圓頂坍塌而重修，民國六十八年納骨塔第二次整修。民國七十二年二重疏洪道興建，因位在疏洪道溢洪區內而計畫拆除，後因當地民眾一再請願故得以保存。民國七十三年跨越疏洪道行經廟旁的中山大橋，在施工至萬善同前面時，曾發生重達數噸的橋面一同掉落的事件，除令施工單位檢討施工過程外，亦不免依禮俗備牲禮到萬善同祭拜。回首民國七十至八十年代，臺灣大家樂盛行時期，晚上到萬善同求明牌的賭客絡驛不絕，還願的電影、布袋戲、歌仔戲，甚至脫衣舞等吸引許多的人潮和攤販夜市，至民國八十七年因疏洪道建設為公園，才將此地的攤販夜市遷移恢復原本的平靜。(荷花公園內),萬善同,387743964636300 
684,2016/05/22 23:47:40,金山,http://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002748,25.25741,121.63287,全年無休,【大眾運輸】　1.於淡水捷運站前、基隆火車站旁搭乘兩地對開的淡水或基隆客運→於2號省道34-39公里處各站下車　　【自行開車】　1.國道3號(基金交流道)→2號省道(34-39公里處)即可抵達　2.國道1號(五股交流道)→64號快速道路→八里五股(往淡水方向)→關渡大橋→竹圍→紅樹林→2號省道(34-39公里處)即可抵達　3.臺北→士林→關渡→竹圍→紅樹林→,208,新北市金山區跳石海岸,886-2-24985965,沿著台2線往石門方向前進，山壁緊臨著海岸，岸邊散佈大大小小的礫石，這是幾萬年前由大屯火山活動所噴落下來的礫石及山崩所滾落的石塊，皆散佈在這片海域的海崖邊，經過長期海浪衝擊，使得這一帶的石塊顯得渾圓，造就出一直到石門的發達礫灘。在淡金公路尚未開通之前，洶湧波濤阻止來往的行旅，當居民與商旅、過客經過此地時，必須先等到退潮後，才能在纍纍礫石間跳躍而過，十分辛苦，因而有「跳石海岸」之稱。,沿著台2線往石門方向前進，山壁緊臨著海岸，岸邊散佈大大小小的礫石，這是幾萬年前由大屯火山活動所噴落下來的礫石及山崩所滾落的石塊，皆散佈在這片海域的海崖邊，經過長期海浪衝擊，使得這一帶的石塊顯得渾圓，造就出一直到石門的發達礫灘。 在淡金公路尚未開通之前，洶湧波濤阻止來往的行旅，當居民與商旅、過客經過此地時，必須先等到退潮後，才能在纍纍礫石間跳躍而過，十分辛苦，因而有「跳石海岸」之稱。 清同治年間的《淡水廳誌》將其列為淡水外八景，古文獻則描述跳石海岸「亂石壘於水面......為土番能之」以及「行人跳石以渡，失足則墜於水」等情形，尤其昔日金包里先民要挑著一擔擔沉重的農、漁產物，艱苦地在礫石間跳躍前進，可以看出當時先民來往間的辛苦。 驅車來到跳石海岸，無數大小礫石堆成的海岸線綿延10多公里，美麗且壯觀的海景，令人心曠神怡；沿途行動咖啡館林立，不妨下車駐足，點選一杯香濃咖啡，欣賞跳石和海浪的對話。,跳石海岸,233104310148355 
685,2016/08/23 14:22:01,"瑞芳,猴硐",,25.08625,121.82766,全年開放,【大眾運輸】　1.搭乘往宜蘭方向火車於「猴硐站」下車。→朝柴寮路即可到達　2.搭乘基隆客運808、新北市新巴士F808至「猴硐火車站」站→朝柴寮路即可到達　　【自行開車】　1.中山高大華交流道→62快速公路→下瑞芳交流道(台2丁)→102縣道→猴牡公路(北37鄉道)直行即可抵達,224,新北市瑞芳區猴硐柴寮路42號(願景館)靠基隆河側,886-2-24974143,煤礦各坑口至整煤廠之搬運以柴油機關車拖運之，運煤橋為運輸煤礦所建，原以三層鐵橋方式建置，後因礦業需求於民國54年8月改建為鋼?混凝土圓弧形拱橋，並正式命名為「瑞三大橋」。目前尚保有完整之遺跡供遊客回顧往日探礦之繁榮景象，而橋上已於民國99年7月份後將運煤橋重新整理，以供遊客可以較安全方式來行進於橋上，橋上並有舊時軌道復舊，以較接近原軌距方式的情境而復舊呈現，並放置臺車充分展現舊時運礦風情。而夜間並有燈光投射於橋上，此地標也成為夜間猴硐攝影師的選擇之一。,煤礦各坑口至整煤廠之搬運以柴油機關車拖運之，運煤橋為運輸煤礦所建，原以三層鐵橋方式建置，後因礦業需求於民國54年8月改建為鋼?混凝土圓弧形拱橋，並正式命名為「瑞三大橋」。目前尚保有完整之遺跡供遊客回顧往日探礦之繁榮景象，而橋上已於民國99年7月份後將運煤橋重新整理，以供遊客可以較安全方式來行進於橋上，橋上並有舊時軌道復舊，以較接近原軌距方式的情境而復舊呈現，並放置臺車充分展現舊時運礦風情。而夜間並有燈光投射於橋上，此地標也成為夜間猴硐攝影師的選擇之一。,運煤橋,201198149924422 
686,2016/04/29 12:44:43,"淡水,博物館",http://www.chang-hsiang.com/dao.html,25.18235,121.45373,採電話預約方式入內參觀,【大眾運輸】　1.搭捷運淡水線至淡水站下車，搭乘新巴士F109至白厝站下車即抵達。　　【自行開車】　1.下中山高台北(重慶北路)交流道接重慶北路、承德路、大度路、中正東路、登輝大道、右轉北新路循指標即抵達。,251,新北市淡水區北投里北頭仔72-1號,"886-2-26238417,886-939-371650",道生中國兵器博物館是一家由民間籌建的博物館，從古戰場上的兵器、民間武術家所使用的利器、一直到現代武術競技場上所使用的兵器，一應俱全，另外還有文檔及錄影資料等等，有一系列的陳列以及解說，來到這裡能夠讓你一窺中國武術的奧妙。,道生中國兵器博物館是一家由民間籌建的博物館，從古戰場上的兵器、民間武術家所使用的利器、一直到現代武術競技場上所使用的兵器，一應俱全，另外還有文檔及錄影資料等等，有一系列的陳列以及解說，來到這裡能夠讓你一窺中國武術的奧妙。,道生中國兵器博物館,
687,2015/11/24 15:42:05,,www.facebook.com/profile.php?id=100004264123287&ref=ts&fref=ts,24.97279,121.39406,請事先預約,【大眾運輸】　1.搭乘火車至山佳火車站下車，步行約1分鐘即抵達。　　【自行開車】　1.沿國道1號和國道3號前往臺北的復興路/110縣道。從國道3號的 50-三鶯 號出口下交流道，繼續走110縣道。行駛到樹林區的中山路三段/114縣道。,238,新北市樹林區中山路三段114巷3-2號,886-2-26804865,皮雕製作、販售,皮雕製作、販售,達瑪拉散皮雕工作坊,TMLSjs
688,2016/07/22 18:27:49,萬里,,25.15341,121.61852,請來電事先預約,【自行開車】　1.走國道一號到汐止接國道三號，下萬里交流道往萬里方向，進入萬里市區前接北28縣道，於10.5K處即可抵達。,207,新北市萬里區溪底里富士坪5鄰26號,886-2-28213206,座落於青山綠水間，外型獨特的鄒家宅院范陽堂，因九間房一氣連貫的獨特外型，被稱為〝一條龍〞。據管理的鄒燦輝先生透露，宅院是自己設計，並邀請名匠建造，所用的青斗石石材都是人工從鄰近的瑪鋉溪溪底搬運上來，不但堅固耐用，還有調節溫度的功能，所以住在裡面冬暖夏涼。,座落於青山綠水間，外型獨特的鄒家宅院范陽堂，因九間房一氣連貫的獨特外型，被稱為〝一條龍〞。據管理的鄒燦輝先生透露，宅院是自己設計，並邀請名匠建造，所用的青斗石石材都是人工從鄰近的瑪鋉溪溪底搬運上來，不但堅固耐用，還有調節溫度的功能，所以住在裡面冬暖夏涼。 建坪86坪的宅院，是鄒燦輝先生當年以約53萬元建成，共有12間房及一間大廳，本來鄒先生準備建造ㄇ字型三合院，但因家族人口外流而改成現今形式，如今家族已全部外移，所以宅院呈空屋狀態，家人只有在假日才回來小住，還會碰見參觀民眾及於前庭烤肉休憩的遊客。,鄒家一條龍,
689,2016/08/29 15:31:52,鶯歌,http://yingge.ceramics.ntpc.gov.tw/zh-tw/map/content.aspx?para=475&control=017&controls=001&page=1,24.95142,121.35004,工廠參觀：週一~五10:00-18:00；展覽：10:00-19:00,【大眾運輸】　1.搭乘台鐵至鶯歌火車站，步行即可到達，或搭乘851於國慶街站下車步行即可到達。　2.於板橋捷運站搭乘702公車於國慶街站下車步行即可到達。　3.於桃園總站搭乘5001公車於國慶街站下車步行即可到達。　4.於大溪總站搭乘5101公車於國慶街站下車步行即可到達。　5.於捷運永寧站搭乘917公車於國慶街站下車步行即可到達。　6.於捷運頂埔站搭乘98,239,新北市鶯歌區重慶街55號2樓,886-2-86772547,來到鶯歌想要輕鬆體驗玩陶樂趣，來到位於鶯歌陶瓷老街的「釉之華─活的陶瓷教育館」，就能玩得盡興！ 教室空間十分寬敞，大片觀景窗還能邊做陶邊欣賞老街風光。館內提供手拉坯及手捏陶教學課程，遊客可自由付費體驗玩陶樂趣，如果人數較多，建議先行預約報名。館內教導的製陶課程為生活陶，簡單易學，例如製作筆筒或馬克杯，很快又能輕鬆上手，成就感十足！,來到鶯歌想要輕鬆體驗玩陶樂趣，來到位於鶯歌陶瓷老街的「釉之華─活的陶瓷教育館」，就能玩得盡興!教室空間十分寬敞，大片觀景窗還能邊做陶邊欣賞老街風光。館內提供手拉坯及手捏陶教學課程，遊客可自由付費體驗玩陶樂趣，如果人數較多，建議先行預約報名。館內教導的製陶課程為生活陶，簡單易學，例如製作筆筒或馬克杯，很快又能輕鬆上手，成就感十足！,釉之華：活的陶瓷教育館,172904276087576 
690,2016/04/29 17:38:01,八里,http://www.centuryempire.url.tw/index.html,25.16308,121.42194,未提供,【大眾運輸】　1.搭乘捷運淡水線→關渡站1號出口轉乘【淡水客運】紅13公車→雷朗園區站下車。　2.搭乘捷運淡水線→關渡站1號出口轉乘【淡水客運】紅22公車→大崁國小站下車→忠八街右轉→觀海大道右轉→雷朗園區。(步行約8-10分鐘)　3.搭乘捷運淡水線→淡水站→沿淡水老街步行至渡船→搭乘渡輪至八里老街→下船右轉沿海邊步行約20-30分鐘→雷朗園區。　4.【三重,249,新北市八里區忠五街70號,886-2-26108078,雷朗提供全新安全且專業的軟硬體設施，幫助每個人都能勇敢面對挑戰，肯定自我，積極樂觀；讓每個人都能與人合作，樂於關懷分享；讓每個人都能發揮潛能，主動探究，解決問題，創造生活；讓每個人都能感受大自然的真善與美妙，豐富身心靈的內涵。,雷朗提供全新安全且專業的軟硬體設施，幫助每個人都能勇敢面對挑戰，肯定自我，積極樂觀；讓每個人都能與人合作，樂於關懷分享；讓每個人都能發揮潛能，主動探究，解決問題，創造生活；讓每個人都能感受大自然的真善與美妙，豐富身心靈的內涵。本園區的理念為： ◎ 為教學開放：具體落實九年一貫綜合領域「野外休閒與探索活動」的精神，為各級學校設計戶外教學專案課程。 ◎ 為成長開放：中小企業團體及家庭親子規劃成長體驗課程， 以增進人際溝通，開發潛能。 ◎ 為休閒開放：推廣戶外探索體驗活動，舉辦自強活動、園遊會等。,雷朗極限探索(園區),reironempire
691,2016/06/16 23:44:02,"瑞芳,藝術文化",,25.10811,121.83997,全年開放,【大眾運輸】　1.轉乘基隆客運788至「大竿林」站下車→沿階梯指標而上即可抵達　2.轉乘基隆客運788、825(僅列假日行駛)、826(僅列假日行駛)、827至「七番坑」站下車→沿階梯指標而上即可抵達　　【自行開車】　1.中山高大華交流道→接62快速公路→下瑞芳交流道→靠右方出口→左轉台2丁(瑞八公路)→過瑞芳橋後右轉上九份→102縣道→沿輕便路前進即可抵達,224,新北市瑞芳區九份頌德公園,886-2-24972250,頌德公園因歌頌台陽礦物事務所創辦人顏雲年功德碑而得名，公園內設置許多雕塑作品，是過去企圖將九份塑造成紐約蘇活區式的藝術家天堂未果的外來藝術工作者所留下的產物，公園上方的小涼亭則可俯看瑞濱灣全景。頌德公園也是連接猴硐、小粗坑及九份的重要入口，可由頌德公園旁的小粗坑古道前往猴硐。,頌德公園因歌頌台陽礦物事務所創辦人顏雲年功德碑而得名，公園內設置許多雕塑作品，是過去企圖將九份塑造成紐約蘇活區式的藝術家天堂未果的外來藝術工作者所留下的產物，公園上方的小涼亭則可俯看瑞濱灣全景。頌德公園也是連接猴硐、小粗坑及九份的重要入口，可由頌德公園旁的小粗坑古道前往猴硐。,頌德公園,258062120894869 
692,2016/04/25 18:18:20,五股,,25.10435,121.42545,未提供,【自行開車】 　國道一號至五股交流道出口下，沿新五路二段至成泰路三段，再至御史路即可到達。,248,新北市五股區御史路,886-2-29603456,旗竿湖位於新北市五股區御史路上，相傳觀音山地靈人傑，曾出御史大人，因而得名；另有鄉野傳說，傳言這條路是早年農業社會 牛隻行走的「交通要道」，常常整條路都是黃金，因而被叫作牛屎路，有鑒於不文雅之故，才從閩南語的「牛屎路」，取其諧音譯為「御史路」。其實旗竿湖的由來，是因為當地的官宦人家在此處附近的小湖泊上插放旗竿，因而得名。 　　旗竿湖一帶規劃有果園農場、觀景棧道，附近還有停車場，不用煩惱停車問題。暑假期間前往，可以賞鷹、觀察植物與昆蟲生態、品嚐綠竹筍及水梨等水果，可以好好遊玩一天。,旗竿湖位於新北市五股區御史路上，相傳觀音山地靈人傑，曾出御史大人，因而得名；另有鄉野傳說，傳言這條路是早年農業社會 牛隻行走的「交通要道」，常常整條路都是黃金，因而被叫作牛屎路，有鑒於不文雅之故，才從閩南語的「牛屎路」，取其諧音譯為「御史路」。其實旗竿湖的由來，是因為當地的官宦人家在此處附近的小湖泊上插放旗竿，因而得名。 　　旗竿湖一帶規劃有果園農場、觀景棧道，附近還有停車場，不用煩惱停車問題。暑假期間前往，可以賞鷹、觀察植物與昆蟲生態、品嚐綠竹筍及水梨等水果，可以好好遊玩一天。,旗竿湖,344250555634714 
693,2016/04/25 18:10:54,五股,http://www.gbcommunity.org.tw/history/history.aspx,25.10368,121.42758,10:00~21:30(5月~9月每周一公休、10月~4月每周一、二公休),【自行開車】　國道一號至五股交流道出口下，沿新五路二段至成泰路三段，再至御史路即可到達。,248,新北市五股區御史路241之1號,886-2-22931629,沿著御史路，並循著「旗竿湖農場」指示牌一路往山上走，就可以看見路旁的「綠竹筍園木棧道」，全長400公尺，可觀察綠竹筍生態，途中的觀景平臺可遠眺臺北盆地、臺北101大樓，附近還是最佳賞鷹位置，春夏之交可見29種老鷹，夏季則可賞松雀鷹、大冠鷲、鳳頭蒼鷹等留鳥。在旗竿湖教育農場園區可以喝咖啡、泡茶聊天，在魚池垂釣。農場另有拿手獨門菜「刺蔥桶仔雞」，有種特別的淡淡清香，非常好吃。,沿著御史路，並循著「旗竿湖農場」指示牌一路往山上走，就可以看見路旁的「綠竹筍園木棧道」，全長400公尺，可觀察綠竹筍生態，途中的觀景平臺可遠眺臺北盆地、臺北101大樓，附近還是最佳賞鷹位置，春夏之交可見29種老鷹，夏季則可賞松雀鷹、大冠鷲、鳳頭蒼鷹等留鳥。在旗竿湖教育農場園區可以喝咖啡、泡茶聊天，在魚池垂釣。農場另有拿手獨門菜「刺蔥桶仔雞」，有種特別的淡淡清香，非常好吃。,旗竿湖教育農場,greenlife7890
694,2016/04/30 11:25:39,"淡水,歷史古蹟",,25.17504,121.46467,不對外開放,【大眾運輸】　1.搭乘捷運至紅樹林站下車，轉乘公車818、879、882、983至淡江大學站下車後步行可抵達。　　【自行開車】　1.台北往淡水公路，經登輝大道右轉水源街二段，通過淡江農場門口，走右側的小徑即可抵達。,251,新北市淡水區水源街二段346巷5號,886-2-29603456,日據時代，日人為解決臺灣自來水問題，於西元1896年聘英籍技師巴爾頓為臺灣總督府衛生工程顧問技師，負責自來水廠設計與施工，現在的「雙峻頭淡水自來水廠」即是臺灣首座自來水廠。造型古典的石砌拱門，上方刻有「滬尾水源」字樣，歷經一世紀的水道，清澈依舊，至今仍源源不?地供應淡水地區用水。現在的「滬尾水道」是屬於低海拔的天然地下水源，位處於淡水區水源街的山麓，享有臺灣第一自來水道的美稱。,日據時代，日人為解決臺灣自來水問題，於西元1896年聘英籍技師巴爾頓為臺灣總督府衛生工程顧問技師，負責自來水廠設計與施工，現在的「雙峻頭淡水自來水廠」即是臺灣首座自來水廠。造型古典的石砌拱門，上方刻有「滬尾水源」字樣，歷經一世紀的水道，清澈依舊，至今仍源源不?地供應淡水地區用水。 現在的「滬尾水道」是屬於低海拔的天然地下水源，位處於淡水區水源街的山麓，享有臺灣第一自來水道的美稱。其古蹟涵蓋雙峻頭水源地、水閥室及三民街消火栓三個部分，而水閥室、消火栓屬於市街內小型公共建物，水源地則出自大屯山麓的火山岩深處，終年不枯，泉水清澈甘美，環境清幽；守衛室、大門口磚柱等建築物及這座保護水源百年設施，現已列為市定古蹟保護。,滬尾水道,
